GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1984;14521500;      Raschau-Markersbach;14,3
1984;14521510;      Scheibenberg, Stadt;10,5
1984;14521520;      Schlettau, Stadt;16,0
1984;14521530;      Schneeberg, Stadt;10,9
1984;14521540;      Schönheide;13,0
1984;14521550;      Schwarzenberg/Erzgeb., Stadt;11,7
1984;14521560;      Sehmatal;14,4
1984;14521570;      Seiffen/Erzgeb., Kurort;10,9
1984;14521590;      Stollberg/Erzgeb., Stadt;12,3
1984;14521600;      Stützengrün;16,6
1984;14521610;      Tannenberg;13,5
1984;14521620;      Thalheim/Erzgeb., Stadt;12,8
1984;14521630;      Thermalbad Wiesenbad;11,9
1984;14521640;      Thum, Stadt;13,5
1984;14521670;      Wolkenstein, Stadt;12,8
1984;14521690;      Zschopau, Stadt, Motorradstadt;19,6
1984;14521700;      Zschorlau;17,7
1984;14521710;      Zwönitz, Stadt;12,8
1984;14522;    Mittelsachsen, Landkreis;14,8
1984;14522010;      Altmittweida;13,5
1984;14522020;      Augustusburg, Stadt;27,9
1984;14522035;      Bobritzsch-Hilbersdorf;26,8
1984;14522050;      Brand-Erbisdorf, Stadt;10,4
1984;14522060;      Burgstädt, Stadt;18,5
1984;14522070;      Claußnitz;15,3
1984;14522080;      Döbeln, Stadt;15,9
1984;14522090;      Dorfchemnitz;9,9
1984;14522110;      Eppendorf;14,9
1984;14522120;      Erlau;24,5
1984;14522140;      Flöha, Stadt;10,8
1984;14522150;      Frankenberg/Sa., Stadt, Garnisonsstadt;15,4
1984;14522170;      Frauenstein, Stadt;12,0
1984;14522180;      Freiberg, Stadt, Universitätsstadt;11,2
1984;14522190;      Geringswalde, Stadt;13,5
1984;14522200;      Großhartmannsdorf;13,7
1984;14522210;      Großschirma, Stadt;16,6
1984;14522220;      Großweitzschen;23,6
1984;14522230;      Hainichen, Stadt;15,0
1984;14522240;      Halsbrücke;14,1
1984;14522250;      Hartha, Stadt;14,0
1984;14522260;      Hartmannsdorf (Landkreis Mittelsachsen);15,9
1984;14522275;      Jahnatal;14,0
1984;14522280;      Königsfeld;12,9
1984;14522290;      Königshain-Wiederau;11,6
1984;14522300;      Kriebstein;22,2
1984;14522310;      Leisnig, Stadt;16,0
1984;14522320;      Leubsdorf;15,3
1984;14522330;      Lichtenau;14,8
1984;14522340;      Lichtenberg/Erzgeb.;23,3
1984;14522350;      Lunzenau, Stadt;16,8
1984;14522360;      Mittweida, Stadt, Hochschulstadt;15,4
1984;14522380;      Mühlau;20,2
1984;14522390;      Mulda/Sa.;11,8
1984;14522400;      Neuhausen/Erzgeb.;15,1
1984;14522420;      Niederwiesa;16,7
1984;14522430;      Oberschöna;11,7
1984;14522440;      Oederan, Stadt;14,7
1984;14522460;      Penig, Stadt;13,9
1984;14522470;      Rechenberg-Bienenmühle;16,0
1984;14522480;      Reinsberg;11,9
1984;14522490;      Rochlitz, Stadt;10,7
1984;14522500;      Rossau;13,7
1984;14522510;      Roßwein, Stadt;14,9
1984;14522520;      Sayda, Stadt;15,8
1984;14522530;      Seelitz;15,0
1984;14522540;      Striegistal;14,1
1984;14522550;      Taura;18,3
1984;14522570;      Waldheim, Stadt;13,1
1984;14522580;      Wechselburg;16,1
1984;14522590;      Weißenborn/Erzgeb.;13,6
1984;14522600;      Zettlitz;6,9
1984;14523;    Vogtlandkreis;17,3
1984;14523010;      Adorf/Vogtl., Stadt;15,7
1984;14523020;      Auerbach/Vogtl., Stadt;19,1
1984;14523030;      Bad Brambach;18,3
1984;14523040;      Bad Elster, Stadt;19,2
1984;14523050;      Bergen;18,2
1984;14523060;      Bösenbrunn;22,6
1984;14523080;      Eichigt;16,5
