"Notes","State","State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Florida","12","Apr., 2012","2012/04",4791,Not Applicable,Not Applicable
,"Florida","12","May, 2012","2012/05",4904,Not Applicable,Not Applicable
,"Florida","12","Jun., 2012","2012/06",4594,Not Applicable,Not Applicable
,"Florida","12","Jul., 2012","2012/07",4757,Not Applicable,Not Applicable
,"Florida","12","Aug., 2012","2012/08",4549,Not Applicable,Not Applicable
,"Florida","12","Sep., 2012","2012/09",4648,Not Applicable,Not Applicable
,"Florida","12","Oct., 2012","2012/10",4898,Not Applicable,Not Applicable
,"Florida","12","Nov., 2012","2012/11",4889,Not Applicable,Not Applicable
,"Florida","12","Dec., 2012","2012/12",5475,Not Applicable,Not Applicable
,"Florida","12","Jan., 2013","2013/01",5856,Not Applicable,Not Applicable
,"Florida","12","Feb., 2013","2013/02",5099,Not Applicable,Not Applicable
,"Florida","12","Mar., 2013","2013/03",5545,Not Applicable,Not Applicable
,"Florida","12","Apr., 2013","2013/04",5174,Not Applicable,Not Applicable
,"Florida","12","May, 2013","2013/05",4925,Not Applicable,Not Applicable
,"Florida","12","Jun., 2013","2013/06",4718,Not Applicable,Not Applicable
,"Florida","12","Jul., 2013","2013/07",4792,Not Applicable,Not Applicable
,"Florida","12","Aug., 2013","2013/08",4632,Not Applicable,Not Applicable
,"Florida","12","Sep., 2013","2013/09",4693,Not Applicable,Not Applicable
,"Florida","12","Oct., 2013","2013/10",4767,Not Applicable,Not Applicable
,"Florida","12","Nov., 2013","2013/11",4812,Not Applicable,Not Applicable
,"Florida","12","Dec., 2013","2013/12",5054,Not Applicable,Not Applicable
,"Florida","12","Jan., 2014","2014/01",5457,Not Applicable,Not Applicable
,"Florida","12","Feb., 2014","2014/02",4874,Not Applicable,Not Applicable
,"Florida","12","Mar., 2014","2014/03",5346,Not Applicable,Not Applicable
,"Florida","12","Apr., 2014","2014/04",5059,Not Applicable,Not Applicable
,"Florida","12","May, 2014","2014/05",5155,Not Applicable,Not Applicable
,"Florida","12","Jun., 2014","2014/06",4877,Not Applicable,Not Applicable
,"Florida","12","Jul., 2014","2014/07",4982,Not Applicable,Not Applicable
,"Florida","12","Aug., 2014","2014/08",4921,Not Applicable,Not Applicable
,"Florida","12","Sep., 2014","2014/09",4623,Not Applicable,Not Applicable
,"Florida","12","Oct., 2014","2014/10",5027,Not Applicable,Not Applicable
,"Florida","12","Nov., 2014","2014/11",5249,Not Applicable,Not Applicable
,"Florida","12","Dec., 2014","2014/12",5877,Not Applicable,Not Applicable
,"Florida","12","Jan., 2015","2015/01",6148,Not Applicable,Not Applicable
,"Florida","12","Feb., 2015","2015/02",5445,Not Applicable,Not Applicable
,"Florida","12","Mar., 2015","2015/03",5730,Not Applicable,Not Applicable
,"Florida","12","Apr., 2015","2015/04",5271,Not Applicable,Not Applicable
,"Florida","12","May, 2015","2015/05",5352,Not Applicable,Not Applicable
,"Florida","12","Jun., 2015","2015/06",4927,Not Applicable,Not Applicable
,"Florida","12","Jul., 2015","2015/07",5081,Not Applicable,Not Applicable
,"Florida","12","Aug., 2015","2015/08",5004,Not Applicable,Not Applicable
,"Florida","12","Sep., 2015","2015/09",4931,Not Applicable,Not Applicable
,"Florida","12","Oct., 2015","2015/10",5118,Not Applicable,Not Applicable
,"Florida","12","Nov., 2015","2015/11",4948,Not Applicable,Not Applicable
,"Florida","12","Dec., 2015","2015/12",5362,Not Applicable,Not Applicable
,"Florida","12","Jan., 2016","2016/01",5792,Not Applicable,Not Applicable
,"Florida","12","Feb., 2016","2016/02",5423,Not Applicable,Not Applicable
,"Florida","12","Mar., 2016","2016/03",5846,Not Applicable,Not Applicable
,"Florida","12","Apr., 2016","2016/04",5351,Not Applicable,Not Applicable
,"Florida","12","May, 2016","2016/05",5274,Not Applicable,Not Applicable
,"Florida","12","Jun., 2016","2016/06",4986,Not Applicable,Not Applicable
,"Florida","12","Jul., 2016","2016/07",5073,Not Applicable,Not Applicable
,"Florida","12","Aug., 2016","2016/08",5096,Not Applicable,Not Applicable
,"Florida","12","Sep., 2016","2016/09",4873,Not Applicable,Not Applicable
,"Florida","12","Oct., 2016","2016/10",5208,Not Applicable,Not Applicable
,"Florida","12","Nov., 2016","2016/11",5381,Not Applicable,Not Applicable
,"Florida","12","Dec., 2016","2016/12",5573,Not Applicable,Not Applicable
,"Florida","12","Jan., 2017","2017/01",6089,Not Applicable,Not Applicable
,"Florida","12","Feb., 2017","2017/02",5522,Not Applicable,Not Applicable
,"Florida","12","Mar., 2017","2017/03",5912,Not Applicable,Not Applicable
,"Florida","12","Apr., 2017","2017/04",5437,Not Applicable,Not Applicable
,"Florida","12","May, 2017","2017/05",5331,Not Applicable,Not Applicable
,"Florida","12","Jun., 2017","2017/06",5009,Not Applicable,Not Applicable
,"Florida","12","Jul., 2017","2017/07",5130,Not Applicable,Not Applicable
,"Florida","12","Aug., 2017","2017/08",5298,Not Applicable,Not Applicable
,"Florida","12","Sep., 2017","2017/09",5447,Not Applicable,Not Applicable
,"Florida","12","Oct., 2017","2017/10",5580,Not Applicable,Not Applicable
,"Florida","12","Nov., 2017","2017/11",5354,Not Applicable,Not Applicable
,"Florida","12","Dec., 2017","2017/12",5913,Not Applicable,Not Applicable
,"Florida","12","Jan., 2018","2018/01",6816,Not Applicable,Not Applicable
,"Florida","12","Feb., 2018","2018/02",5680,Not Applicable,Not Applicable
,"Florida","12","Mar., 2018","2018/03",5943,Not Applicable,Not Applicable
,"Florida","12","Apr., 2018","2018/04",5380,Not Applicable,Not Applicable
,"Florida","12","May, 2018","2018/05",5417,Not Applicable,Not Applicable
,"Florida","12","Jun., 2018","2018/06",5099,Not Applicable,Not Applicable
,"Florida","12","Jul., 2018","2018/07",5223,Not Applicable,Not Applicable
,"Florida","12","Aug., 2018","2018/08",5123,Not Applicable,Not Applicable
,"Florida","12","Sep., 2018","2018/09",5012,Not Applicable,Not Applicable
,"Florida","12","Oct., 2018","2018/10",5260,Not Applicable,Not Applicable
,"Florida","12","Nov., 2018","2018/11",5172,Not Applicable,Not Applicable
,"Florida","12","Dec., 2018","2018/12",5687,Not Applicable,Not Applicable
,"Florida","12","Jan., 2019","2019/01",5786,Not Applicable,Not Applicable
,"Florida","12","Feb., 2019","2019/02",5364,Not Applicable,Not Applicable
,"Florida","12","Mar., 2019","2019/03",5800,Not Applicable,Not Applicable
,"Florida","12","Apr., 2019","2019/04",5595,Not Applicable,Not Applicable
,"Florida","12","May, 2019","2019/05",5618,Not Applicable,Not Applicable
,"Florida","12","Jun., 2019","2019/06",5206,Not Applicable,Not Applicable
,"Florida","12","Jul., 2019","2019/07",5386,Not Applicable,Not Applicable
,"Florida","12","Aug., 2019","2019/08",5215,Not Applicable,Not Applicable
,"Florida","12","Sep., 2019","2019/09",5066,Not Applicable,Not Applicable
,"Florida","12","Oct., 2019","2019/10",5243,Not Applicable,Not Applicable
,"Florida","12","Nov., 2019","2019/11",5392,Not Applicable,Not Applicable
,"Florida","12","Dec., 2019","2019/12",6086,Not Applicable,Not Applicable
,"Florida","12","Jan., 2020 ","2020/01",6125,Not Applicable,Not Applicable
,"Florida","12","Feb., 2020 ","2020/02",5674,Not Applicable,Not Applicable
,"Florida","12","Mar., 2020 ","2020/03",6026,Not Applicable,Not Applicable
