group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
15to44;2022-48;1387.39;1578.56;1481.94;1677.18;1641.81
15to44;2022-49;1387.9;1580.78;1483.29;1680.31;1681.34
15to44;2022-50;1388.42;1583.01;1484.65;1683.44;1710.73
15to44;2022-51;1388.96;1585.17;1485.98;1686.47;1808.92
15to44;2022-52;1389.5;1587.21;1487.26;1689.3;1896.29
15to44;2023-01;1390.06;1589.04;1488.44;1691.81;1677.16
15to44;2023-02;1390.6;1590.66;1489.51;1694;1601.54
15to44;2023-03;1391.15;1591.98;1490.44;1695.72;1584.62
15to44;2023-04;1391.69;1592.98;1491.2;1696.97;1536.66
15to44;2023-05;1392.21;1593.64;1491.79;1697.7;1572.16
15to44;2023-06;1392.69;1593.95;1492.19;1697.92;1528.76
15to44;2023-07;1393.14;1593.91;1492.4;1697.62;1432.86
45to64;2017-09;8505.08;8993.14;8747.97;9240.55;8939
45to64;2017-10;8485.29;8967.59;8725.33;9212.06;8767
45to64;2017-11;8463.65;8939.66;8700.57;9180.91;8652
45to64;2017-12;8440.39;8909.87;8674.07;9147.76;8685
45to64;2017-13;8415.8;8878.71;8646.22;9113.24;8590
45to64;2017-14;8390.15;8846.72;8617.43;9078.01;8512
45to64;2017-15;8363.75;8814.43;8588.11;9042.71;8555
45to64;2017-16;8336.94;8782.36;8558.68;9007.95;8392
45to64;2017-17;8310.04;8750.99;8529.56;8974.3;8725
45to64;2017-18;8283.41;8720.79;8501.16;8942.28;8554
45to64;2017-19;8257.42;8692.16;8473.86;8912.3;8665
45to64;2017-20;8232.43;8665.46;8448.02;8884.74;8423
45to64;2017-21;8208.82;8641.01;8423.99;8859.86;8535
45to64;2017-22;8187.03;8618.96;8402.07;8837.69;8274
45to64;2017-23;8167.17;8599.79;8382.55;8818.87;8305
45to64;2017-24;8149.76;8583.41;8365.65;8803.03;8429
45to64;2017-25;8135.06;8569.99;8351.58;8790.28;8747
45to64;2017-26;8123.29;8559.62;8340.51;8780.62;8179
45to64;2017-27;8114.67;8552.33;8332.55;8774.02;8305
45to64;2017-28;8109.34;8548.15;8327.78;8770.43;8477
45to64;2017-29;8107.39;8547.04;8326.25;8769.75;8471
45to64;2017-30;8108.86;8548.97;8327.95;8771.92;8236
45to64;2017-31;8113.71;8553.89;8332.83;8776.87;8648
45to64;2017-32;8121.89;8561.7;8340.83;8784.49;8339
45to64;2017-33;8133.23;8572.31;8351.81;8794.72;8124
45to64;2017-34;8147.54;8585.59;8365.61;8807.46;8286
45to64;2017-35;8164.57;8601.39;8382.03;8822.64;8376
45to64;2017-36;8184.01;8619.58;8400.85;8840.17;8262
45to64;2017-37;8205.53;8639.95;8421.81;8859.94;8329
45to64;2017-38;8228.75;8662.3;8444.59;8881.84;8454
45to64;2017-39;8253.25;8686.4;8468.9;8905.72;8554
45to64;2017-40;8278.61;8711.97;8494.37;8931.41;8678
45to64;2017-41;8304.34;8738.78;8520.64;8958.76;8594
45to64;2017-42;8330.18;8766.35;8547.33;8987.2;8607
45to64;2017-43;8355.54;8794.44;8574.05;9016.68;8510
45to64;2017-44;8380.08;8822.6;8600.39;9046.69;8550
45to64;2017-45;8403.44;8850.41;8625.96;9076.76;8739
45to64;2017-46;8425.27;8877.4;8650.35;9106.4;9003
45to64;2017-47;8445.27;8903.12;8673.19;9135.04;8831
45to64;2017-48;8463.19;8927.08;8694.1;9162.1;8973
45to64;2017-49;8478.78;8948.83;8712.75;9187.01;9029
45to64;2017-50;8491.86;8967.94;8728.82;9209.21;9265
45to64;2017-51;8502.27;8984.02;8742.04;9228.19;9326
45to64;2017-52;8509.91;8996.7;8752.17;9243.46;9716
45to64;2018-01;8514.67;9005.71;8759.04;9254.65;9880
45to64;2018-02;8516.53;9010.82;8762.51;9261.43;9473
45to64;2018-03;8515.45;9011.89;8762.5;9263.6;9526
45to64;2018-04;8511.47;9008.84;8758.98;9261.03;9290
45to64;2018-05;8504.64;9001.69;8751.99;9253.73;9378
45to64;2018-06;8495.05;8990.55;8741.63;9241.78;9272
45to64;2018-07;8482.81;8975.57;8728.03;9225.41;9634
45to64;2018-08;8468.07;8957.02;8711.4;9204.91;9886
45to64;2018-09;8451;8935.21;8691.98;9180.67;10159
45to64;2018-10;8431.81;8910.53;8670.07;9153.17;10055
45to64;2018-11;8410.72;8883.41;8645.99;9122.97;9648
45to64;2018-12;8387.97;8854.34;8620.1;9090.66;9373
45to64;2018-13;8363.83;8823.81;8592.79;9056.86;8946
45to64;2018-14;8338.58;8792.35;8564.46;9022.22;9171
45to64;2018-15;8312.51;8760.49;8535.52;8987.41;9015
45to64;2018-16;8285.94;8728.75;8506.39;8953.02;8634
45to64;2018-17;8259.23;8697.6;8477.47;8919.61;8447
45to64;2018-18;8232.71;8667.52;8449.18;8887.7;8405
45to64;2018-19;8206.74;8638.91;8421.9;8857.76;8278
45to64;2018-20;8181.69;8612.15;8396;8830.12;8419
45to64;2018-21;8157.92;8587.55;8371.81;8805.11;8357
45to64;2018-22;8135.81;8565.35;8349.66;8782.87;8319
45to64;2018-23;8115.69;8545.8;8329.82;8763.62;8346
45to64;2018-24;8097.89;8529.05;8312.54;8747.4;8294
45to64;2018-25;8082.71;8515.2;8298.02;8734.25;8317
45to64;2018-26;8070.4;8504.36;8286.43;8724.16;8446
45to64;2018-27;8061.17;8496.56;8277.91;8717.09;8370
45to64;2018-28;8055.18;8491.82;8272.54;8713;8250
45to64;2018-29;8052.52;8490.13;8270.36;8711.82;8409
45to64;2018-30;8053.26;8491.46;8271.39;8713.45;8610
45to64;2018-31;8057.37;8495.75;8275.59;8717.83;8817
45to64;2018-32;8064.77;8502.94;8282.89;8724.9;8583
45to64;2018-33;8075.37;8512.89;8293.17;8734.51;8241
45to64;2018-34;8088.95;8525.53;8306.28;8746.66;8197
45to64;2018-35;8105.29;8540.7;8322.04;8761.24;8285
45to64;2018-36;8124.08;8558.26;8340.23;8778.16;8357
45to64;2018-37;8145.01;8578.04;8360.59;8797.34;8226
45to64;2018-38;8167.7;8599.82;8382.83;8818.65;8366
45to64;2018-39;8191.74;8623.39;8406.64;8841.97;8466
45to64;2018-40;8216.73;8648.49;8431.69;8867.12;8590
45to64;2018-41;8242.24;8674.83;8457.62;8893.88;8392
45to64;2018-42;8267.81;8702.11;8484.04;8922.03;8341
45to64;2018-43;8293.1;8729.9;8510.57;8951.09;8459
45to64;2018-44;8317.65;8757.88;8536.82;8980.82;8580
45to64;2018-45;8341.08;8785.6;8562.38;9010.73;8634
45to64;2018-46;8363.09;8812.61;8586.87;9040.3;8635
45to64;2018-47;8383.34;8838.46;8609.9;9069.01;8626
45to64;2018-48;8401.57;8862.67;8631.09;9096.28;8795
45to64;2018-49;8417.55;8884.78;8650.11;9121.54;8830
45to64;2018-50;8431.08;8904.37;8666.65;9144.22;8810
45to64;2018-51;8442;8921.02;8680.41;9163.81;9205
45to64;2018-52;8450.19;8934.38;8691.16;9179.83;8935
45to64;2019-01;8455.55;8944.16;8698.71;9191.88;9402
45to64;2019-02;8458.02;8950.12;8702.91;9199.62;9397
45to64;2019-03;8457.59;8952.1;8703.67;9202.84;9306
45to64;2019-04;8454.27;8950.01;8700.96;9201.38;9523
45to64;2019-05;8448.11;8943.85;8694.8;9195.23;9666
45to64;2019-06;8439.18;8933.7;8685.27;9184.46;9451
45to64;2019-07;8427.59;8919.72;8672.49;9169.25;9479
45to64;2019-08;8413.49;8902.14;8656.67;9149.89;9099
45to64;2019-09;8397.03;8881.27;8638.02;9126.76;9290
45to64;2019-10;8378.42;8857.47;8616.84;9100.31;9081
45to64;2019-11;8357.87;8831.17;8593.43;9071.05;8691
45to64;2019-12;8335.61;8802.84;8568.16;9039.62;8611
45to64;2019-13;8311.9;8772.96;8541.39;9006.58;8424
45to64;2019-14;8287.04;8742.05;8513.53;8972.58;8502
45to64;2019-15;8261.29;8710.65;8484.98;8938.29;8325
45to64;2019-16;8234.99;8679.24;8456.14;8904.26;8518
45to64;2019-17;8208.46;8648.34;8427.44;8871.13;8501
45to64;2019-18;8182.04;8618.39;8399.27;8839.38;8228
45to64;2019-19;8156.11;8589.82;8372.03;8809.46;8239
45to64;2019-20;8131.01;8562.99;8346.07;8781.77;8299
45to64;2019-21;8107.12;8538.24;8321.75;8756.58;8200
45to64;2019-22;8084.79;8515.83;8299.37;8734.13;8255
45to64;2019-23;8064.37;8495.97;8279.24;8714.57;8282
45to64;2019-24;8046.21;8478.85;8261.58;8697.98;8296
45to64;2019-25;8030.58;8464.58;8246.63;8684.43;8387
45to64;2019-26;8017.75;8453.27;8234.55;8673.89;8467
45to64;2019-27;8007.93;8444.95;8225.48;8666.35;8554
45to64;2019-28;8001.3;8439.67;8219.51;8661.75;8014
45to64;2019-29;7997.97;8437.4;8216.71;8660.03;8411
45to64;2019-30;7997.99;8438.13;8217.08;8661.14;8450
45to64;2019-31;8001.36;8441.81;8220.6;8664.97;8190
45to64;2019-32;8008.03;8448.36;8227.21;8671.45;8071
45to64;2019-33;8017.87;8457.7;8236.81;8680.53;7855
45to64;2019-34;8030.72;8469.71;8249.24;8692.11;8037
45to64;2019-35;8046.36;8484.27;8264.35;8706.11;8320
45to64;2019-36;8064.49;8501.23;8281.9;8722.46;8130
45to64;2019-37;8084.81;8520.42;8301.67;8741.07;8104
45to64;2019-38;8106.96;8541.66;8323.36;8761.83;8333
45to64;2019-39;8130.53;8564.71;8346.68;8784.61;8461
45to64;2019-40;8155.14;8589.34;8371.3;8809.24;8347
45to64;2019-41;8180.35;8615.26;8396.87;8835.52;8490
45to64;2019-42;8205.73;8642.18;8423.01;8863.22;8344
45to64;2019-43;8230.9;8669.7;8449.35;8891.94;8316
45to64;2019-44;8255.42;8697.47;8475.49;8921.36;8457
45to64;2019-45;8278.94;8725.09;8501.04;8951.08;8739
45to64;2019-46;8301.1;8752.09;8525.6;8980.56;8601
45to64;2019-47;8321.6;8778.04;8548.8;9009.29;8551
45to64;2019-48;8340.15;8802.45;8570.26;9036.7;8667
45to64;2019-49;8356.52;8824.89;8589.64;9062.25;8987
45to64;2019-50;8370.51;8844.9;8606.62;9085.35;8872
45to64;2019-51;8381.93;8862.1;8620.9;9105.51;9076
45to64;2019-52;8390.67;8876.11;8632.25;9122.22;8743
45to64;2020-01;8396.62;8886.62;8640.46;9135.07;9095
45to64;2020-02;8399.71;8893.39;8645.37;9143.73;9192
45to64;2020-03;8399.92;8896.25;8646.9;9147.94;9154
45to64;2020-04;8397.26;8895.09;8644.98;9147.56;8878
45to64;2020-05;8391.75;8889.9;8639.63;9142.54;9138
45to64;2020-06;8383.47;8880.73;8630.91;9132.92;8972
45to64;2020-07;8372.54;8867.73;8618.95;9118.86;8844
45to64;2020-08;8359.05;8851.14;8603.92;9100.68;8740
45to64;2020-09;8343.19;8831.2;8586.04;9078.65;8786
45to64;2020-10;8325.15;8808.3;8565.58;9053.26;8820
45to64;2020-11;8305.11;8782.82;8542.86;9025;9054
45to64;2020-12;8283.33;8755.24;8518.2;8994.44;9590
45to64;2020-13;8260.06;8726.03;8491.98;8962.19;10365
45to64;2020-14;8235.56;8695.69;8464.58;8928.86;11153
45to64;2020-15;8210.13;8664.75;8436.42;8895.1;10791
45to64;2020-16;8184.08;8633.71;8407.9;8861.52;9890
45to64;2020-17;8157.74;8603.06;8379.42;8828.66;9305
45to64;2020-18;8131.45;8573.26;8351.38;8797.08;8769
45to64;2020-19;8105.56;8544.74;8324.18;8767.21;8794
45to64;2020-20;8080.43;8517.87;8298.19;8739.46;8550
45to64;2020-21;8056.42;8492.97;8273.74;8714.11;8613
45to64;2020-22;8033.91;8470.33;8251.16;8691.42;8539
45to64;2020-23;8013.23;8450.18;8230.74;8671.54;8280
45to64;2020-24;7994.72;8432.69;8212.73;8654.58;8304
45to64;2020-25;7978.68;8418.01;8197.36;8640.6;8070
45to64;2020-26;7965.36;8406.21;8184.8;8629.59;8414
45to64;2020-27;7954.99;8397.39;8175.19;8621.57;8243
45to64;2020-28;7947.75;8391.56;8168.65;8616.45;8202
45to64;2020-29;7943.76;8388.72;8165.23;8614.21;8231
45to64;2020-30;7943.08;8388.86;8164.96;8614.77;8319
45to64;2020-31;7945.74;8391.93;8167.82;8618.05;8537
45to64;2020-32;7951.67;8397.87;8173.75;8623.99;8447
45to64;2020-33;7960.77;8406.59;8182.67;8632.51;8981
45to64;2020-34;7972.9;8417.99;8194.44;8643.53;8247
45to64;2020-35;7987.82;8431.95;8208.89;8657;8185
45to64;2020-36;8005.29;8448.33;8225.81;8672.81;8336
45to64;2020-37;8024.99;8466.95;8244.99;8690.87;8423
45to64;2020-38;8046.58;8487.65;8266.13;8711.11;8590
45to64;2020-39;8069.67;8510.2;8288.96;8733.38;8522
45to64;2020-40;8093.87;8534.37;8313.15;8757.52;8680
45to64;2020-41;8118.77;8559.88;8338.35;8783.33;8817
45to64;2020-42;8143.94;8586.42;8364.21;8810.58;8857
45to64;2020-43;8168.97;8613.67;8390.34;8838.95;9207
45to64;2020-44;8193.46;8641.24;8416.36;8868.08;9266
45to64;2020-45;8217.04;8668.72;8441.88;8897.57;9499
45to64;2020-46;8239.36;8695.7;8466.5;8926.92;9731
45to64;2020-47;8260.1;8721.71;8489.86;8955.63;9628
45to64;2020-48;8278.97;8746.3;8511.57;8983.15;9995
45to64;2020-49;8295.73;8769.02;8531.28;9008.93;9865
45to64;2020-50;8310.16;8789.43;8548.68;9032.41;10104
45to64;2020-51;8322.09;8807.13;8563.47;9053.06;9834
45to64;2020-52;8331.38;8821.74;8575.39;9070.4;10050
45to64;2020-53;8337.91;8832.95;8584.24;9084.01;10172
45to64;2021-01;8341.63;8840.5;8589.86;9093.54;10633
45to64;2021-02;8342.47;8844.21;8592.12;9098.73;10758
45to64;2021-03;8340.46;8843.95;8590.98;9099.37;10776
45to64;2021-04;8335.61;8839.71;8586.42;9095.44;10338
45to64;2021-05;8327.98;8831.52;8578.51;9086.96;10097
45to64;2021-06;8317.67;8819.5;8567.36;9074.06;9851
45to64;2021-07;8304.8;8803.86;8553.12;9057;9681
45to64;2021-08;8289.53;8784.86;8536;9036.09;9216
45to64;2021-09;8272.04;8762.85;8516.26;9011.76;9108
45to64;2021-10;8252.52;8738.21;8494.21;8984.5;9276
45to64;2021-11;8231.21;8711.39;8470.16;8954.86;9129
45to64;2021-12;8208.36;8682.85;8444.49;8923.41;9278
45to64;2021-13;8184.23;8653.11;8417.58;8890.79;9400
45to64;2021-14;8159.12;8622.65;8389.82;8857.6;9353
45to64;2021-15;8133.32;8591.99;8361.61;8824.45;9445
45to64;2021-16;8107.17;8561.61;8333.36;8791.92;9418
45to64;2021-17;8081;8531.98;8305.47;8760.51;9354
45to64;2021-18;8055.16;8503.52;8278.33;8730.71;9202
45to64;2021-19;8030.06;8476.56;8252.3;8702.81;8837
45to64;2021-20;8005.93;8451.57;8227.75;8677.39;8645
45to64;2021-21;7983.25;8428.72;8204.98;8654.46;8616
45to64;2021-22;7962.33;8408.27;8184.29;8634.25;8686
45to64;2021-23;7943.51;8390.41;8165.94;8616.9;8509
45to64;2021-24;7927.07;8375.3;8150.16;8602.48;8532
45to64;2021-25;7913.29;8363.04;8137.13;8591.01;8483
45to64;2021-26;7902.4;8353.71;8127.01;8582.47;8699
45to64;2021-27;7894.58;8347.33;8119.9;8576.83;8438
45to64;2021-28;7889.98;8343.9;8115.88;8574.01;8577
45to64;2021-29;7888.61;8343.47;8114.98;8574.06;8745
45to64;2021-30;7890.58;8345.92;8117.18;8576.76;8588
45to64;2021-31;7895.77;8351.27;8122.45;8582.19;8813
45to64;2021-32;7904.14;8359.39;8130.7;8590.18;8774
45to64;2021-33;7915.54;8370.19;8141.81;8600.66;8780
45to64;2021-34;7929.76;8383.56;8155.61;8613.59;8671
45to64;2021-35;7946.56;8399.36;8171.91;8628.88;8950
45to64;2021-36;7965.63;8417.44;8190.5;8646.44;9057
45to64;2021-37;7986.65;8437.61;8211.1;8666.17;8637
45to64;2021-38;8009.25;8459.66;8233.43;8687.93;8931
45to64;2021-39;8033.03;8483.38;8257.18;8711.61;8780
45to64;2021-40;8057.59;8508.48;8282.01;8736.98;9054
45to64;2021-41;8082.52;8534.67;8307.57;8763.81;9270
45to64;2021-42;8107.41;8561.63;8333.49;8791.81;9163
45to64;2021-43;8131.86;8588.97;8359.37;8820.64;9239
45to64;2021-44;8155.48;8616.32;8384.85;8849.89;9360
45to64;2021-45;8177.95;8643.24;8409.52;8879.09;9625
45to64;2021-46;8198.91;8669.3;8433.01;8907.75;9892
45to64;2021-47;8218.09;8694.04;8454.95;8935.34;10180
45to64;2021-48;8235.24;8717.01;8474.98;8961.3;10520
45to64;2021-49;8250.12;8737.79;8492.79;8985.1;10541
45to64;2021-50;8262.55;8755.95;8508.06;9006.2;10280
45to64;2021-51;8272.39;8771.13;8520.54;9024.12;10345
45to64;2021-52;8279.51;8783;8530.01;9038.44;10297
45to64;2022-01;8283.84;8791.3;8536.31;9048.77;9939
45to64;2022-02;8285.32;8795.82;8539.3;9054.87;9706
45to64;2022-03;8283.93;8796.47;8538.92;9056.55;9502
45to64;2022-04;8279.74;8793.13;8535.15;9053.66;9567
45to64;2022-05;8272.76;8785.89;8528.03;9046.28;9524
45to64;2022-06;8263.07;8774.83;8517.67;9034.52;9231
45to64;2022-07;8250.82;8760.14;8504.21;9018.59;9103.41
45to64;2022-08;8236.13;8742.07;8487.85;8998.78;8855.38
45to64;2022-09;8219.18;8720.95;8468.83;8975.53;8931.33
45to64;2022-10;8200.18;8697.15;8447.45;8949.27;8765.83
45to64;2022-11;8179.33;8671.1;8424.02;8920.56;8855.24
45to64;2022-12;8156.89;8643.26;8398.9;8889.94;8821.02
45to64;2022-13;8133.13;8614.11;8372.47;8858.03;8906.32
45to64;2022-14;8108.33;8584.15;8345.11;8825.43;8974.39
45to64;2022-15;8082.79;8553.88;8317.23;8792.75;8809.06
45to64;2022-16;8056.83;8523.8;8289.22;8760.55;8460.72
45to64;2022-17;8030.8;8494.34;8261.49;8729.33;8559.75
45to64;2022-18;8005.04;8465.94;8234.41;8699.6;8640.16
45to64;2022-19;7979.89;8439;8208.37;8671.74;8622.67
45to64;2022-20;7955.73;8413.84;8183.72;8646.08;8488.5
45to64;2022-21;7932.91;8390.77;8160.77;8622.89;8136.26
45to64;2022-22;7911.78;8370.03;8139.83;8602.36;8284.99
45to64;2022-23;7892.66;8351.81;8121.16;8584.61;8314.74
45to64;2022-24;7875.87;8336.28;8104.98;8569.74;8485.26
45to64;2022-25;7861.66;8323.55;8091.51;8557.77;8507.22
45to64;2022-26;7850.27;8313.7;8080.88;8548.72;8725.22
45to64;2022-27;7841.9;8306.78;8073.22;8542.54;8600.62
45to64;2022-28;7836.66;8302.8;8068.61;8539.22;8932.29
45to64;2022-29;7834.66;8301.77;8067.09;8538.68;9178.17
45to64;2022-30;7835.92;8303.64;8068.65;8540.87;8735.17
45to64;2022-31;7840.42;8308.37;8073.27;8545.72;8581
45to64;2022-32;7848.08;8315.89;8080.86;8553.16;8757.94
45to64;2022-33;7858.76;8326.1;8091.31;8563.13;8592.98
45to64;2022-34;7872.27;8338.9;8104.47;8575.55;8490.65
45to64;2022-35;7888.4;8354.13;8120.15;8590.32;8367.09
45to64;2022-36;7906.84;8371.67;8138.15;8607.38;8223.23
45to64;2022-37;7927.28;8391.33;8158.2;8626.63;8182.68
45to64;2022-38;7949.36;8412.9;8180.04;8647.93;8625.11
45to64;2022-39;7972.71;8436.16;8203.35;8671.14;8636.35
45to64;2022-40;7996.92;8460.87;8227.8;8696.09;8704.73
45to64;2022-41;8021.6;8486.7;8253.06;8722.51;8597.54
45to64;2022-42;8046.33;8513.36;8278.75;8750.15;8756.14
45to64;2022-43;8070.72;8540.48;8304.49;8778.67;8641.96
45to64;2022-44;8094.38;8567.67;8329.91;8807.66;8474.23
45to64;2022-45;8116.97;8594.53;8354.61;8836.7;8699.19
45to64;2022-46;8138.15;8620.61;8378.22;8865.29;8873.31
45to64;2022-47;8157.63;8645.47;8400.37;8892.91;9102.19
45to64;2022-48;8175.15;8668.67;8420.71;8919.03;9191.26
45to64;2022-49;8190.47;8689.78;8438.89;8943.1;9849.73
45to64;2022-50;8203.4;8708.38;8454.63;8964.61;10108.61
45to64;2022-51;8213.78;8724.09;8467.65;8983.06;10540.35
45to64;2022-52;8221.48;8736.59;8477.73;8998.03;10579.39
45to64;2023-01;8226.42;8745.61;8484.69;9009.14;9995.53
45to64;2023-02;8228.54;8750.92;8488.39;9016.11;9295.08
45to64;2023-03;8227.81;8752.4;8488.75;9018.72;9030.59
45to64;2023-04;8224.24;8749.98;8485.76;9016.89;8795.33
45to64;2023-05;8217.98;8743.59;8479.43;9010.44;8825.74
45to64;2023-06;8208.86;8733.54;8469.85;8999.92;8679.05
45to64;2023-07;8197.19;8719.81;8457.16;8985.13;7666.73
65to74;2017-09;10804.68;11403.42;11102.71;11706.8;11558
65to74;2017-10;10764.55;11355.57;11058.74;11655;11200
65to74;2017-11;10719.27;11301.89;11009.29;11597.03;10935
65to74;2017-12;10669.55;11243.33;10955.19;11533.96;10679
65to74;2017-13;10616.08;11181.02;10897.33;11467.13;10773
65to74;2017-14;10559.65;11116.02;10836.64;11397.75;10751
65to74;2017-15;10501.09;11049.44;10774.1;11327.08;10614
65to74;2017-16;10441.25;10982.38;10710.67;11256.34;10626
65to74;2017-17;10381.01;10915.9;10647.33;11186.69;10763
65to74;2017-18;10321.27;10850.99;10585.03;11119.14;10809
65to74;2017-19;10262.84;10788.67;10524.66;11054.86;10726
65to74;2017-20;10206.68;10729.71;10467.1;10994.47;10720
65to74;2017-21;10153.59;10674.91;10413.16;10938.82;10411
65to74;2017-22;10104.4;10624.95;10363.59;10888.48;10310
65to74;2017-23;10059.87;10580.42;10319.05;10843.97;10139
65to74;2017-24;10020.68;10541.83;10280.15;10805.69;10170
65to74;2017-25;9987.44;10509.59;10247.41;10773.97;10592
65to74;2017-26;9960.69;10484.04;10221.25;10749.04;10322
65to74;2017-27;9940.87;10465.42;10202.02;10731.06;10465
65to74;2017-28;9928.3;10453.94;10189.99;10720.14;10219
65to74;2017-29;9923.21;10449.7;10185.32;10716.33;10444
65to74;2017-30;9925.74;10452.73;10188.1;10719.62;10125
65to74;2017-31;9935.88;10463.04;10198.32;10730.01;10353
65to74;2017-32;9953.56;10480.49;10215.89;10747.33;10171
65to74;2017-33;9978.56;10504.94;10240.62;10771.48;10251
65to74;2017-34;10010.54;10536.19;10272.24;10802.36;10136
65to74;2017-35;10049.17;10573.84;10310.4;10839.5;10119
65to74;2017-36;10093.85;10617.64;10354.64;10882.83;10176
65to74;2017-37;10143.97;10667.1;10404.44;10931.93;10474
65to74;2017-38;10198.85;10721.73;10459.2;10986.42;10627
65to74;2017-39;10257.71;10780.94;10518.24;11045.78;10586
65to74;2017-40;10319.71;10844.06;10580.8;11109.47;10640
65to74;2017-41;10383.94;10910.38;10646.08;11176.84;10887
65to74;2017-42;10449.48;10979.09;10713.19;11247.15;10912
65to74;2017-43;10515.38;11049.3;10781.24;11319.54;10738
65to74;2017-44;10580.71;11120.05;10849.26;11393.06;10817
65to74;2017-45;10644.52;11190.36;10916.3;11466.67;10885
65to74;2017-46;10705.91;11259.17;10981.38;11539.27;11089
65to74;2017-47;10764.05;11325.4;11043.53;11609.62;11283
65to74;2017-48;10818.1;11388;11101.83;11676.58;11250
65to74;2017-49;10867.33;11445.92;11155.37;11738.94;11672
65to74;2017-50;10911.07;11498.16;11203.33;11795.54;11776
65to74;2017-51;10948.73;11543.82;11244.96;11845.28;11929
65to74;2017-52;10979.82;11582.07;11279.6;11887.19;12363
65to74;2018-01;11003.92;11612.22;11306.71;11920.44;12632
65to74;2018-02;11020.75;11633.73;11325.86;11944.34;12395
65to74;2018-03;11030.08;11646.21;11336.75;11958.43;12605
65to74;2018-04;11031.85;11649.45;11339.25;11962.42;12009
65to74;2018-05;11026.07;11643.39;11333.33;11956.22;12168
65to74;2018-06;11012.87;11628.18;11319.13;11939.99;12445
65to74;2018-07;10992.49;11604.14;11296.93;11914.08;12561
65to74;2018-08;10965.25;11571.75;11267.14;11879.06;12874
65to74;2018-09;10931.6;11531.65;11230.29;11835.65;13500
65to74;2018-10;10892.05;11484.6;11187.02;11784.78;13483
65to74;2018-11;10847.2;11431.51;11138.08;11727.47;12742
65to74;2018-12;10797.62;11373.45;11084.29;11665.08;12404
65to74;2018-13;10744.33;11311.21;11026.56;11598.27;11836
65to74;2018-14;10687.83;11246.16;10965.81;11528.85;11582
65to74;2018-15;10629.03;11179.33;10903.02;11457.93;11255
65to74;2018-16;10568.77;11111.83;10839.17;11386.74;11036
65to74;2018-17;10507.96;11044.74;10775.23;11316.45;10612
65to74;2018-18;10447.47;10979.08;10712.18;11248.17;10414
65to74;2018-19;10388.2;10915.83;10650.92;11182.89;10465
65to74;2018-20;10331.01;10855.87;10592.36;11121.53;10505
65to74;2018-21;10276.84;10799.93;10537.3;11064.7;10343
65to74;2018-22;10226.44;10748.79;10486.53;11013.2;10695
65to74;2018-23;10180.61;10703.02;10440.73;10967.48;10211
65to74;2018-24;10140.06;10663.16;10400.51;10927.98;10201
65to74;2018-25;10105.43;10629.62;10366.42;10895.02;10454
65to74;2018-26;10077.25;10602.78;10338.9;10868.86;10546
65to74;2018-27;10056;10582.89;10318.33;10849.68;10508
65to74;2018-28;10042.02;10570.18;10304.97;10837.62;10246
65to74;2018-29;10035.58;10564.72;10299.02;10832.67;10666
65to74;2018-30;10036.81;10566.61;10300.58;10834.9;10688
65to74;2018-31;10045.74;10575.82;10309.65;10844.25;11230
65to74;2018-32;10062.29;10592.27;10326.15;10860.64;10947
65to74;2018-33;10086.29;10615.8;10349.92;10883.92;10235
65to74;2018-34;10117.43;10646.19;10380.69;10913.91;10424
65to74;2018-35;10155.3;10683.17;10418.12;10950.42;10291
65to74;2018-36;10199.39;10726.36;10461.77;10993.15;10366
65to74;2018-37;10249.11;10775.35;10511.13;11041.75;10511
65to74;2018-38;10303.74;10829.64;10565.6;11095.84;10586
65to74;2018-39;10362.54;10888.65;10624.51;11154.94;10443
65to74;2018-40;10424.65;10951.74;10687.11;11218.51;10870
65to74;2018-41;10489.17;11018.17;10752.59;11285.91;10807
65to74;2018-42;10555.17;11087.16;10820.07;11356.41;10606
65to74;2018-43;10621.7;11157.82;10888.66;11429.16;10677
65to74;2018-44;10687.8;11229.21;10957.39;11503.24;10961
65to74;2018-45;10752.54;11300.32;11025.29;11577.6;11141
65to74;2018-46;10814.98;11370.11;11091.39;11651.13;10794
65to74;2018-47;10874.27;11437.5;11154.7;11722.65;10945
65to74;2018-48;10929.57;11501.41;11214.28;11790.95;11308
65to74;2018-49;10980.13;11560.78;11269.21;11854.83;11291
65to74;2018-50;11025.24;11614.63;11318.65;11913.14;11551
65to74;2018-51;11064.35;11661.94;11361.83;11964.64;11666
65to74;2018-52;11096.87;11701.94;11398.07;12008.47;11735
65to74;2019-01;11122.42;11733.9;11426.79;12043.7;11970
65to74;2019-02;11140.65;11757.22;11447.55;12069.63;12380
65to74;2019-03;11151.37;11771.49;11460.03;12085.72;12377
65to74;2019-04;11154.44;11776.47;11464.05;12091.67;12426
65to74;2019-05;11149.89;11772.07;11459.57;12087.36;12610
65to74;2019-06;11137.82;11758.42;11446.72;12072.9;12671
65to74;2019-07;11118.44;11735.79;11425.73;12048.61;12446
65to74;2019-08;11092.09;11704.65;11397;12015.02;12445
65to74;2019-09;11059.18;11665.6;11361.04;11972.84;12134
65to74;2019-10;11020.22;11619.42;11318.5;11922.95;11948
65to74;2019-11;10975.79;11566.98;11270.09;11866.43;11774
65to74;2019-12;10926.59;11509.24;11216.66;11804.33;11322
65to74;2019-13;10873.31;11447.3;11159.07;11737.96;11007
