GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14628010;      Altenberg, Stadt;8501;4266;4235
30.06.2011;14628020;      Bad Gottleuba-Berggießhübel, Stadt;5768;2856;2912
30.06.2011;14628030;      Bad Schandau, Stadt;4024;1988;2036
30.06.2011;14628040;      Bahretal;2218;1110;1108
30.06.2011;14628050;      Bannewitz;10392;5022;5370
30.06.2011;14628060;      Dippoldiswalde, Stadt;14600;7175;7425
30.06.2011;14628070;      Dohma;1977;986;991
30.06.2011;14628080;      Dohna, Stadt;6105;3056;3049
30.06.2011;14628090;      Dorfhain;1109;544;565
30.06.2011;14628100;      Dürrröhrsdorf-Dittersbach;4329;2190;2139
30.06.2011;14628110;      Freital, Stadt;38425;18654;19771
30.06.2011;14628130;      Glashütte, Stadt;7017;3535;3482
30.06.2011;14628140;      Gohrisch;2036;1012;1024
30.06.2011;14628150;      Hartmannsdorf-Reichenau;1127;564;563
30.06.2011;14628160;      Heidenau, Stadt;15936;7768;8168
30.06.2011;14628170;      Hermsdorf/Erzgeb.;856;430;426
30.06.2011;14628190;      Hohnstein, Stadt;3481;1739;1742
30.06.2011;14628205;      Klingenberg;7027;3537;3490
30.06.2011;14628210;      Königstein/Sächs. Schw., Stadt;2266;1146;1120
30.06.2011;14628220;      Kreischa;4360;2151;2209
30.06.2011;14628230;      Liebstadt, Stadt;1367;711;656
30.06.2011;14628240;      Lohmen;3131;1523;1608
30.06.2011;14628250;      Müglitztal;2009;1005;1004
30.06.2011;14628260;      Neustadt in Sachsen, Stadt;13286;6539;6747
30.06.2011;14628270;      Pirna, Stadt;37459;17993;19466
30.06.2011;14628300;      Rabenau, Stadt;4346;2211;2135
30.06.2011;14628310;      Rathen, Kurort;381;193;188
30.06.2011;14628320;      Rathmannsdorf;999;469;530
30.06.2011;14628330;      Reinhardtsdorf-Schöna;1427;728;699
30.06.2011;14628340;      Rosenthal-Bielatal;1758;873;885
30.06.2011;14628360;      Sebnitz, Stadt;10363;5064;5299
30.06.2011;14628370;      Stadt Wehlen, Stadt;1664;851;813
30.06.2011;14628380;      Stolpen, Stadt;5752;2858;2894
30.06.2011;14628390;      Struppen;2511;1267;1244
30.06.2011;14628400;      Tharandt, Stadt;5283;2644;2639
30.06.2011;14628410;      Wilsdruff, Stadt;13505;6701;6804
30.06.2011;147;  Leipzig, NUTS 2-Region;966441;468884;497557
30.06.2011;14713;    Leipzig, Stadt;503377;241577;261800
30.06.2011;14713000;      Leipzig, Stadt;503377;241577;261800
30.06.2011;14729;    Leipzig, Landkreis;262098;128270;133828
30.06.2011;14729010;      Bad Lausick, Stadt;8357;4061;4296
30.06.2011;14729020;      Belgershain;3338;1673;1665
30.06.2011;14729030;      Bennewitz;5024;2531;2493
30.06.2011;14729040;      Böhlen, Stadt;6711;3256;3455
30.06.2011;14729050;      Borna, Stadt;19759;9456;10303
30.06.2011;14729060;      Borsdorf;8177;3966;4211
30.06.2011;14729070;      Brandis, Stadt;9411;4625;4786
30.06.2011;14729080;      Colditz, Stadt;9215;4554;4661
30.06.2011;14729100;      Elstertrebnitz;1314;651;663
30.06.2011;14729140;      Frohburg, Stadt;13435;6737;6698
30.06.2011;14729150;      Geithain, Stadt;7516;3679;3837
30.06.2011;14729160;      Grimma, Stadt;29261;14339;14922
30.06.2011;14729170;      Groitzsch, Stadt;7783;3793;3990
30.06.2011;14729190;      Großpösna;5314;2653;2661
30.06.2011;14729220;      Kitzscher, Stadt;5348;2619;2729
30.06.2011;14729245;      Lossatal;6347;3190;3157
30.06.2011;14729250;      Machern;6645;3243;3402
30.06.2011;14729260;      Markkleeberg, Stadt;23714;11389;12325
30.06.2011;14729270;      Markranstädt, Stadt;14754;7155;7599
30.06.2011;14729300;      Naunhof, Stadt;8474;4150;4324
30.06.2011;14729320;      Neukieritzsch;7145;3499;3646
30.06.2011;14729330;      Otterwisch;1450;719;731
30.06.2011;14729340;      Parthenstein;3514;1763;1751
