SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,3,5,32071,15591,16480,11361,11521,2307,2768,43,70,1198,1536,18,9,664,576,11962,12038,2705,3118,119,142,1475,1773,46,31,14246,15061,10501,10559,1972,2440,23,30,1185,1525,11,3,554,504,11002,11013,2279,2732,73,84,1455,1759,33,22,1345,1419,860,962,335,328,20,40,13,11,7,6,110,72,960,1025,426,386,46,58,20,14,13,9
050,36,001,New York,Albany County,3,6,21618,10865,10753,7622,7538,2021,1937,45,37,776,847,9,12,392,382,7975,7882,2237,2151,93,89,942,1003,30,27,9958,9807,7016,6876,1821,1750,12,15,770,842,6,9,333,315,7312,7159,1994,1911,44,53,933,992,26,22,907,946,606,662,200,187,33,22,6,5,3,3,59,67,663,723,243,240,49,36,9,11,4,5
050,36,001,New York,Albany County,3,7,20122,9994,10128,7313,7179,1571,1709,30,36,803,897,6,7,271,300,7547,7438,1676,1863,67,79,953,1037,32,31,9180,9309,6710,6623,1432,1525,13,15,794,892,3,5,228,249,6903,6836,1509,1641,38,48,940,1028,25,25,814,819,603,556,139,184,17,21,9,5,3,2,43,51,644,602,167,222,29,31,13,9,7,6
050,36,001,New York,Albany County,3,8,19891,10025,9866,7510,7121,1316,1496,30,34,935,972,8,12,226,231,7699,7310,1416,1614,67,70,1054,1088,26,33,9285,9161,6953,6620,1189,1354,8,15,931,967,6,8,198,197,7117,6780,1266,1445,36,43,1048,1079,23,29,740,705,557,501,127,142,22,19,4,5,2,4,28,34,582,530,150,169,31,27,6,9,3,4
050,36,001,New York,Albany County,3,9,18202,9010,9192,6792,6600,1147,1426,18,30,865,908,4,15,184,213,6949,6765,1238,1540,51,68,951,1015,16,30,8372,8581,6319,6183,1044,1286,8,15,856,902,0,9,145,186,6439,6325,1107,1377,34,49,939,1006,9,23,638,611,473,417,103,140,10,15,9,6,4,6,39,27,510,440,131,163,17,19,12,9,7,7
050,36,001,New York,Albany County,3,10,16553,8098,8455,6082,6102,1054,1305,22,31,833,831,7,7,100,179,6157,6232,1097,1407,43,71,889,919,16,23,7630,7904,5727,5725,977,1189,9,8,828,828,2,3,87,151,5791,5831,1012,1270,27,41,882,915,9,15,468,551,355,377,77,116,13,23,5,3,5,4,13,28,366,401,85,137,16,30,7,4,7,8
050,36,001,New York,Albany County,3,11,18869,9409,9460,7481,7392,1127,1308,31,40,626,542,7,10,137,168,7578,7510,1184,1408,72,82,699,615,22,31,8971,8953,7154,7061,1054,1196,14,22,622,538,4,4,123,132,7237,7147,1102,1266,52,57,694,609,18,22,438,507,327,331,73,112,17,18,4,4,3,6,14,36,341,363,82,142,20,25,5,6,4,9
050,36,001,New York,Albany County,3,12,20606,10006,10600,8206,8639,1157,1296,46,30,475,501,6,4,116,130,8284,8726,1203,1365,85,75,529,554,24,18,9614,10192,7913,8367,1101,1209,21,16,469,495,4,3,106,102,7982,8428,1141,1256,59,57,522,544,19,15,392,408,293,272,56,87,25,14,6,6,2,1,10,28,302,298,62,109,26,18,7,10,5,3
050,36,001,New York,Albany County,3,13,20381,9900,10481,8337,8846,1074,1132,27,31,365,383,5,2,92,87,8403,8903,1113,1178,64,76,410,418,15,5,9606,10158,8128,8614,1014,1073,16,18,363,377,2,2,83,74,8185,8659,1047,1108,51,60,407,411,12,5,294,323,209,232,60,59,11,13,2,6,3,0,9,13,218,244,66,70,13,16,3,7,3,0
050,36,001,New York,Albany County,3,14,18089,8608,9481,7488,8222,731,832,17,28,295,297,5,1,72,101,7539,8275,757,891,49,79,330,332,12,16,8392,9184,7332,7994,696,789,9,17,291,292,3,1,61,91,7374,8037,717,840,36,67,322,327,7,15,216,297,156,228,35,43,8,11,4,5,2,0,11,10,165,238,40,51,13,12,8,5,5,1
