"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Oct., 1999","1999/10","45-49 years","45-49",5687,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","50-54 years","50-54",7179,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","55-59 years","55-59",8730,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","60-64 years ","60-64",11052,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","65-69 years","65-69",15250,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","70-74 years","70-74",21749,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","75-79 years","75-79",27504,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","80-84 years","80-84",28956,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","85-89 years","85-89",27021,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","90-94 years","90-94",17296,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","95-99 years","95-99",6868,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","100+ years","100+",1418,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","Not Stated","NS",25,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","< 1 year","1",2248,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","1-4 years","1-4",376,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","5-9 years","5-9",249,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","10-14 years","10-14",323,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","15-19 years","15-19",1067,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","20-24 years","20-24",1449,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","25-29 years","25-29",1433,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","30-34 years","30-34",1785,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","35-39 years","35-39",2933,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","40-44 years","40-44",4188,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","45-49 years","45-49",5603,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","50-54 years","50-54",6833,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","55-59 years","55-59",8569,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","60-64 years ","60-64",10724,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","65-69 years","65-69",14882,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","70-74 years","70-74",21213,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","75-79 years","75-79",26964,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","80-84 years","80-84",28799,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","85-89 years","85-89",26816,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","90-94 years","90-94",17466,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","95-99 years","95-99",6722,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","100+ years","100+",1413,Not Applicable,Not Applicable
,"Nov., 1999","1999/11","Not Stated","NS",30,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","< 1 year","1",2406,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","1-4 years","1-4",471,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","5-9 years","5-9",306,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","10-14 years","10-14",300,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","15-19 years","15-19",1072,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","20-24 years","20-24",1410,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","25-29 years","25-29",1582,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","30-34 years","30-34",1922,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","35-39 years","35-39",3221,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","40-44 years","40-44",4625,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","45-49 years","45-49",6157,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","50-54 years","50-54",7825,Not Applicable,Not Applicable
