"iso3c","chart_type","type","window"
"USA-NH","yearly","cmr","5"
"USA-NJ","yearly","cmr","5"
"USA-NM","yearly","cmr","6"
"USA-NV","yearly","cmr","5"
"USA-NY","yearly","cmr","5"
"USA-OH","yearly","cmr","5"
"USA-OK","yearly","cmr","6"
"USA-OR","yearly","cmr","5"
"USA-PA","yearly","cmr","5"
"USA-RI","yearly","cmr","5"
"USA-SC","yearly","cmr","5"
"USA-SD","yearly","cmr","6"
"USA-TN","yearly","cmr","5"
"USA-TX","yearly","cmr","5"
"USA-UT","yearly","cmr","5"
"USA-VA","yearly","cmr","5"
"USA-VT","yearly","cmr","6"
"USA-WA","yearly","cmr","7"
"USA-WI","yearly","cmr","5"
"USA-WV","yearly","cmr","5"
"USA-WY","yearly","cmr","6"
"UZB","yearly","cmr","5"
"VCT","yearly","cmr","5"
"VEN","yearly","cmr","6"
"VGB","yearly","cmr","10"
"VIR","yearly","cmr","12"
"VNM","yearly","cmr","6"
"VUT","yearly","cmr","6"
"WLF","yearly","cmr",
"WSM","yearly","cmr","8"
"XKX","yearly","cmr","9"
"YEM","yearly","cmr","5"
"ZAF","yearly","cmr","5"
"ZMB","yearly","cmr","5"
"ZWE","yearly","cmr","5"
"ALB","yearly","asmr_who",
"ABW","yearly","asmr_who",
"AFG","yearly","asmr_who",
"AGO","yearly","asmr_who",
"AIA","yearly","asmr_who",
"AND","yearly","asmr_who","5"
"ARE","yearly","asmr_who",
"ARG","yearly","asmr_who",
"ARM","yearly","asmr_who",
"ASM","yearly","asmr_who",
"ATG","yearly","asmr_who",
"AUS","yearly","asmr_who",
"AUT","yearly","asmr_who","9"
"AZE","yearly","asmr_who",
"BDI","yearly","asmr_who",
"BEL","yearly","asmr_who","7"
"BEN","yearly","asmr_who",
"BES","yearly","asmr_who",
"BFA","yearly","asmr_who",
"BGD","yearly","asmr_who",
"BGR","yearly","asmr_who","6"
"BHR","yearly","asmr_who",
"BHS","yearly","asmr_who",
"BIH","yearly","asmr_who",
"BLM","yearly","asmr_who",
"BLR","yearly","asmr_who",
"BLZ","yearly","asmr_who",
"BMU","yearly","asmr_who",
"BOL","yearly","asmr_who",
"BRA","yearly","asmr_who",
"BRB","yearly","asmr_who",
"BRN","yearly","asmr_who",
"BTN","yearly","asmr_who",
"BWA","yearly","asmr_who",
"CAF","yearly","asmr_who",
"CAN","yearly","asmr_who","5"
"CHE","yearly","asmr_who","5"
"CHL","yearly","asmr_who",
"CHN","yearly","asmr_who",
"CIV","yearly","asmr_who",
"CMR","yearly","asmr_who",
"COD","yearly","asmr_who",
"COG","yearly","asmr_who",
"COK","yearly","asmr_who",
"COL","yearly","asmr_who",
"COM","yearly","asmr_who",
"CPV","yearly","asmr_who",
"CRI","yearly","asmr_who",
"CUB","yearly","asmr_who",
"CUW","yearly","asmr_who",
"CYM","yearly","asmr_who",
"CYP","yearly","asmr_who",
"CZE","yearly","asmr_who","5"
"DEU","yearly","asmr_who","6"
"DEU-BB","yearly","asmr_who","5"
"DEU-BE","yearly","asmr_who","5"
"DEU-BW","yearly","asmr_who","11"
"DEU-BY","yearly","asmr_who","11"
"DEU-HB","yearly","asmr_who","12"
"DEU-HE","yearly","asmr_who","11"
"DEU-HH","yearly","asmr_who","11"
"DEU-MV","yearly","asmr_who","12"
"DEU-NI","yearly","asmr_who","11"
"DEU-NW","yearly","asmr_who","11"
"DEU-RP","yearly","asmr_who","12"
"DEU-SH","yearly","asmr_who","9"
"DEU-SL","yearly","asmr_who","7"
"DEU-SN","yearly","asmr_who","5"
"DEU-ST","yearly","asmr_who","12"
"DEU-TH","yearly","asmr_who","10"
"DJI","yearly","asmr_who",
"DMA","yearly","asmr_who",
"DNK","yearly","asmr_who","5"
"DOM","yearly","asmr_who",
"DZA","yearly","asmr_who",
"ECU","yearly","asmr_who",
"EGY","yearly","asmr_who",
"ERI","yearly","asmr_who",
"ESH","yearly","asmr_who",
"ESP","yearly","asmr_who","6"
"EST","yearly","asmr_who","5"
"ETH","yearly","asmr_who",
"FIN","yearly","asmr_who","8"
"FJI","yearly","asmr_who",
"FLK","yearly","asmr_who",
"FRA","yearly","asmr_who","10"
"FRO","yearly","asmr_who",
"FSM","yearly","asmr_who",
"GAB","yearly","asmr_who",
"GBR","yearly","asmr_who",
"GBRTENW","yearly","asmr_who","6"
"GBR_NIR","yearly","asmr_who",
"GBR_SCO","yearly","asmr_who","5"
"GEO","yearly","asmr_who",
"GGY","yearly","asmr_who",
"GHA","yearly","asmr_who",
"GIB","yearly","asmr_who",
"GIN","yearly","asmr_who",
"GLP","yearly","asmr_who",
"GMB","yearly","asmr_who",
"GNB","yearly","asmr_who",
"GNQ","yearly","asmr_who",
"GRC","yearly","asmr_who",
"GRD","yearly","asmr_who",
"GRL","yearly","asmr_who",
"GTM","yearly","asmr_who",
"GUF","yearly","asmr_who",
"GUM","yearly","asmr_who",
"GUY","yearly","asmr_who",
"HKG","yearly","asmr_who",
"HND","yearly","asmr_who",
"HRV","yearly","asmr_who","12"
"HTI","yearly","asmr_who",
"HUN","yearly","asmr_who","12"
"IDN","yearly","asmr_who",
"IMN","yearly","asmr_who",
"IND","yearly","asmr_who",
"IRL","yearly","asmr_who",
"IRN","yearly","asmr_who",
"IRQ","yearly","asmr_who",
"ISL","yearly","asmr_who","11"
"ISR","yearly","asmr_who","6"
"ITA","yearly","asmr_who","5"
"JAM","yearly","asmr_who",
"JEY","yearly","asmr_who",
"JOR","yearly","asmr_who",
"JPN","yearly","asmr_who",
