"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"BEL","2015-2016",106688,108782,103827,113738,-2094,2861,-7050,11319686,942.5,962.42,919.82,1005.03,-19.92,22.68,-62.53,406.5,411.58,396.21,426.96,-5.08,10.29,-20.46,936.4,953.71,905.37,1002.06,-17.31,31.03,-65.66,647.9,659.37,626.99,691.75,-11.47,20.91,-43.85,990.5,1009.7,957.12,1062.28,-19.2,33.38,-71.78
"BEL","2016-2017",110190,109443,104404,114482,747,5786,-4292,11363114,969.8,962.06,918.74,1005.39,7.74,51.06,-35.59,407.1,405.22,389.56,420.88,1.88,17.54,-13.78,950.3,941.41,892.31,990.51,8.89,57.99,-40.21,656.1,650.52,617.64,683.4,5.58,38.46,-27.3,1008,997.42,944.03,1050.82,10.58,63.97,-42.82
"BEL","2017-2018",110975,110103,104958,115248,872,6017,-4273,11412502,972.5,961.71,917.47,1005.94,10.79,55.03,-33.44,404.7,398.86,382.83,414.88,5.84,21.87,-10.18,943,929.11,877.83,980.39,13.89,65.17,-37.39,651.3,641.67,607.33,676.02,9.63,43.97,-24.72,999.9,985.15,929.38,1040.92,14.75,70.52,-41.02
"BEL","2018-2019",108488,110763,105492,116034,-2275,2996,-7546,11471813,945.8,961.35,916.02,1006.67,-15.55,29.78,-60.87,389.3,392.49,376.01,408.97,-3.19,13.29,-19.67,907.5,916.8,862.08,971.53,-9.3,45.42,-64.03,626.7,632.82,596.17,669.47,-6.12,30.53,-42.77,962.5,972.88,913.36,1032.39,-10.38,49.14,-69.89
"BEL","2019-2020",117590,111423,106006,116840,6167,11584,750,11528985,1020,960.99,914.41,1007.57,59.01,105.59,12.43,409.6,386.13,369.13,403.13,23.47,40.47,6.47,970.5,904.5,845.29,963.71,66,125.21,6.79,668,623.97,584.31,663.63,44.03,83.69,4.37,1032.1,960.6,896.21,1024.99,71.5,135.89,7.11
"BEL","2020-2021",117599,112083,106503,117664,5516,11096,-65,11570798,1016.6,960.63,912.65,1008.61,55.97,103.95,7.99,412.1,379.77,362.17,397.37,32.33,49.93,14.73,972.4,892.2,827.67,956.72,80.2,144.73,15.68,669.3,615.12,571.9,658.34,54.18,97.4,10.96,1031.3,948.32,878.15,1018.5,82.97,153.15,12.8
"BEL","2021-2022",117199,112743,106983,118503,4456,10216,-1304,11592383,1011,960.27,910.74,1009.8,50.73,100.26,1.2,420.8,373.4,355.15,391.66,47.4,65.65,29.14,953,879.89,809.41,950.37,73.11,143.59,2.63,666.7,606.27,559.07,653.47,60.43,107.63,13.23,995.8,936.05,859.41,1012.69,59.75,136.39,-16.89
"BGR","2000-2001",110937,,,,,,,8074392,1373.3,,,,,,,865.1,,,,,,,1895.1,,,,,,,1326.1,,,,,,,1999.5,,,,,,
"BGR","2001-2002",112475,,,,,,,7861158,1430.6,,,,,,,845.4,,,,,,,1839.3,,,,,,,1288,,,,,,,1944.7,,,,,,
"BGR","2002-2003",114073,,,,,,,7791219,1463.8,,,,,,,842.1,,,,,,,1828.7,,,,,,,1280.2,,,,,,,1934.7,,,,,,
"BGR","2003-2004",110157,,,,,,,7731756,1424.5,,,,,,,804.9,,,,,,,1726.9,,,,,,,1213.1,,,,,,,1828.4,,,,,,
"BGR","2004-2005",111496,111690,105512,117869,-194,5984,-6373,7674367,1452.7,1456.98,1372.1,1541.86,-4.28,80.6,-89.16,801.9,,,,,,,1719.5,,,,,,,1208.3,,,,,,,1820.4,,,,,,
"BGR","2005-2006",114338,111396,105335,117458,2942,9003,-3120,7615943,1501.1,1462.76,1379.49,1546.04,38.34,121.61,-44.94,808,,,,,,,1742.3,,,,,,,1222.6,,,,,,,1844.2,,,,,,
"BGR","2006-2007",113217,111102,105141,117063,2115,8076,-3846,7559712,1497.5,1468.54,1386.65,1550.44,28.96,110.85,-52.94,792.1,,,,,,,1707.4,,,,,,,1198.8,,,,,,,1805.5,,,,,,
"BGR","2007-2008",111138,110808,104930,116686,330,6208,-5548,7505969,1480.5,1474.32,1393.58,1555.07,6.18,86.92,-74.57,769.9,,,,,,,1664.1,,,,,,,1168,,,,,,,1759,,,,,,
"BGR","2008-2009",107748,110514,104702,116326,-2766,3046,-8578,7456493,1444.9,1480.11,1400.26,1559.95,-35.21,44.64,-115.05,742.8,,,,,,,1601.4,,,,,,,1125.4,,,,,,,1691.3,,,,,,
"BGR","2009-2010",110426,110220,104455,115984,206,5971,-5558,7409052,1490.3,1485.89,1406.7,1565.08,4.41,83.6,-74.78,751.9,,,,,,,1627.3,,,,,,,1143,,,,,,,1717.9,,,,,,
"BGR","2010-2011",107981,109925,104189,115661,-1944,3792,-7680,7359718,1467,1491.67,1412.87,1570.47,-24.67,54.13,-103.47,722.4,,,,,,,1576.6,,,,,,,1103.8,,,,,,,1665.3,,,,,,
"BGR","2011-2012",111294,109631,103905,115357,1663,7389,-4063,7317012,1520.9,1497.45,1418.78,1576.12,23.45,102.12,-55.22,734.7,,,,,,,1617,,,,,,,1128.6,,,,,,,1706.6,,,,,,
"BGR","2012-2013",103002,109337,103601,115073,-6335,-599,-12071,7275411,1415.7,1503.24,1424.44,1582.04,-87.54,-8.74,-166.34,677.6,,,,,,,1478.7,,,,,,,1034.2,,,,,,,1562.3,,,,,,
"BGR","2013-2014",107576,109043,103278,114807,-1467,4298,-7231,7235155,1486.7,1509.02,1429.82,1588.21,-22.32,56.88,-101.51,699.4,704.1,667.16,741.04,-4.7,32.24,-41.64,1526.3,1540.62,1447.05,1634.18,-14.32,79.25,-107.88,1067.2,1076.54,1013.4,1139.68,-9.34,53.8,-72.48,1612.9,1627.33,1529.91,1724.75,-14.43,82.99,-111.85
