"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Kansas","20","2015","2015",9474,64625,14660.0
,"Kansas","20","2016","2016",8946,64804,13804.7
,"Kansas","20","2017","2017",9148,64942,14086.4
"Total","Kansas","20",,,162129,1100457,14732.9
,"Kentucky","21","1999","1999",9973,57514,17340.1
,"Kentucky","21","2000","2000",10055,58261,17258.5
,"Kentucky","21","2001","2001",10014,58671,17068.1
,"Kentucky","21","2002","2002",10122,58311,17358.6
,"Kentucky","21","2003","2003",9994,58570,17063.3
,"Kentucky","21","2004","2004",9324,59231,15741.8
,"Kentucky","21","2005","2005",9907,60846,16282.1
,"Kentucky","21","2006","2006",9971,62988,15830.0
,"Kentucky","21","2007","2007",10036,64747,15500.3
,"Kentucky","21","2008","2008",10627,66579,15961.5
,"Kentucky","21","2009","2009",10329,67955,15199.8
,"Kentucky","21","2010","2010",10659,69208,15401.4
,"Kentucky","21","2011","2011",10961,71473,15335.9
,"Kentucky","21","2012","2012",11231,72971,15391.0
,"Kentucky","21","2013","2013",11282,74685,15106.1
,"Kentucky","21","2014","2014",11330,75895,14928.5
,"Kentucky","21","2015","2015",11715,77361,15143.3
,"Kentucky","21","2016","2016",11808,78089,15121.2
,"Kentucky","21","2017","2017",11912,79613,14962.4
"Total","Kentucky","21",,,201250,1272968,15809.5
,"Louisiana","22","1999","1999",9538,57390,16619.6
,"Louisiana","22","2000","2000",9499,58676,16188.9
,"Louisiana","22","2001","2001",9503,58309,16297.7
,"Louisiana","22","2002","2002",9656,58109,16617.0
,"Louisiana","22","2003","2003",9854,58562,16826.6
,"Louisiana","22","2004","2004",9482,58910,16095.7
,"Louisiana","22","2005","2005",10425,60693,17176.6
,"Louisiana","22","2006","2006",9036,58704,15392.5
,"Louisiana","22","2007","2007",9384,60775,15440.6
,"Louisiana","22","2008","2008",9977,62685,15916.1
,"Louisiana","22","2009","2009",9507,64258,14795.0
,"Louisiana","22","2010","2010",9854,65686,15001.7
,"Louisiana","22","2011","2011",10266,68504,14986.0
,"Louisiana","22","2012","2012",10626,70740,15021.2
,"Louisiana","22","2013","2013",10734,73286,14646.7
,"Louisiana","22","2014","2014",10767,74426,14466.7
,"Louisiana","22","2015","2015",10618,75979,13974.9
,"Louisiana","22","2016","2016",10875,77461,14039.3
,"Louisiana","22","2017","2017",11187,79928,13996.3
"Total","Louisiana","22",,,190788,1243081,15348.0
,"Maine","23","1999","1999",3716,22883,16239.1
,"Maine","23","2000","2000",3796,23316,16280.7
,"Maine","23","2001","2001",3884,23849,16285.8
,"Maine","23","2002","2002",3872,24189,16007.3
,"Maine","23","2003","2003",3903,24537,15906.6
,"Maine","23","2004","2004",3941,24926,15810.8
,"Maine","23","2005","2005",4001,25393,15756.3
,"Maine","23","2006","2006",3808,26304,14476.9
,"Maine","23","2007","2007",4050,27008,14995.6
,"Maine","23","2008","2008",4097,27915,14676.7
,"Maine","23","2009","2009",4178,28415,14703.5
,"Maine","23","2010","2010",4175,29136,14329.4
,"Maine","23","2011","2011",4409,29801,14794.8
,"Maine","23","2012","2012",4355,30473,14291.3
,"Maine","23","2013","2013",4738,31146,15212.2
,"Maine","23","2014","2014",4693,31721,14794.6
,"Maine","23","2015","2015",5060,32025,15800.2
,"Maine","23","2016","2016",4890,32290,15144.0
,"Maine","23","2017","2017",4935,32728,15078.8
"Total","Maine","23",,,80501,528055,15244.8
,"Maryland","24","1999","1999",10411,65553,15881.8
,"Maryland","24","2000","2000",10740,66902,16053.3
,"Maryland","24","2001","2001",10764,69104,15576.5
